[ 5941.758501] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.124713] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.140797] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.156937] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.173241] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.189316] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.205446] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.221497] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.237621] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.253670] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.269705] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.285727] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.301854] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.317871] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.333903] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.349928] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.366037] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.382050] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.398075] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.414087] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.430097] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.446108] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.462265] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.478280] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.494437] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.510563] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.526673] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.542720] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.558992] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.575036] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.591182] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.607213] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.623327] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.639515] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.655616] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.671641] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.687704] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.703787] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.719840] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.735967] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.752193] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.768261] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.784548] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.800669] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.806038] DUALPI2: dualpi2_qdisc_enqueue - skb_qdelay: 5943632226346
[ 5943.816834] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.832898] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.848967] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.865081] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.881199] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.897329] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.913437] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.929557] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.945606] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.961651] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.977704] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.993824] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.009839] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.025897] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.041915] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.057924] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.074021] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.090055] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.106081] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.122114] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.138139] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.154156] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.170176] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.186196] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.202224] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.218240] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.234272] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.250305] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.266326] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.282406] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.298465] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.314527] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.330601] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.346620] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.362642] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.378656] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.394672] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.410688] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.426809] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.442902] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.458971] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.475071] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.491089] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.507217] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.523274] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.539286] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.555433] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.571530] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.587562] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.603579] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.619606] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.635660] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.651750] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.667903] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.683965] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.700097] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.716115] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.732143] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.748160] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.764179] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.780261] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.796301] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.812466] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.828644] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.844704] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.860835] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.877009] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.893092] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.909166] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.925224] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.941251] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.957341] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.973366] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5944.989395] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.005538] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.021767] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.037930] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.054063] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.070081] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.086191] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.102270] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.118380] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.134443] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.150502] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.166523] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.182586] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.198636] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.214705] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.230721] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.246735] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.262761] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.278927] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.294950] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.311068] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.327084] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.343127] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.359303] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.375376] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.391445] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.407612] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.423772] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.439836] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.455925] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.472071] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.488202] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.504298] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.520432] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.536603] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.552656] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.568777] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.584800] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.600920] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.617087] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.633224] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.649384] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.665505] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.681554] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.697568] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.713708] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.729839] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.745976] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.761989] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.778032] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.794094] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.810188] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.821945] DUALPI2: dualpi2_qdisc_enqueue - skb_qdelay: 5945648133833
[ 5945.826201] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.842264] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.858331] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.874414] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.890429] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.906494] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.922583] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.938634] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.954687] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.970803] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5945.986848] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.002895] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.018908] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.034983] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.051013] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.067037] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.083052] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.099094] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.115222] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.131349] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.147467] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.163593] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.179717] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.195833] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.211973] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.228053] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.244173] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.260409] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.276498] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.292553] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.308572] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.324622] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.340739] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.356859] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.372983] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.389003] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.405048] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.421095] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.437477] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.453614] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.469658] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.485928] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.501965] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.518036] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.534048] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.550079] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.567097] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.583147] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.599194] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.615208] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.631263] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.647385] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.663494] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.679604] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.695717] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.711841] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.727861] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.743879] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.759988] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.776122] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.792192] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.808205] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.824326] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.840343] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.856393] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.872438] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.888486] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5946.904532] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
